sentence_col1,sentence_col2,n_raters,mean_rating,std_dev,mean_abs_dev,difficulties,raters,pct_exact_match_with_mode,verb,verb_en,verb_casual,frame_en,frame_en_id,sent_mt_pval,verb_mt_pval,DistClass,DistClassName,translit,google_gemma-3-1b-pt,google_gemma-3-4b-pt,google_gemma-3-12b-pt,meta-llama_Llama-3.1-8B,meta-llama_Llama-3.1-70B,Qwen_Qwen3-32B,sarvamai_sarvam-1
wo kal read kar chuke the,wo kal padh chuke the,6,4.333,2.805,2.333,"[1, 7, 7, 1, 4, 6]","['s.406f0f9c-40d6-4037-ab36-d9ca831d0c7e.txt', 's.6e707c44-3689-475a-9844-ba5f97e04291.txt', 's.9c69cad2-2c39-483c-8a6a-7a026189066c.txt', 's.f906f239-0dd1-45b8-a4c0-78392435fb3c.txt', 's.fbc77057-b007-4e28-bbbd-d5b476b444fa.txt', 's.ffa0172a-58f2-49bf-8490-dcc31f314310.txt']",33.3,पढ,read,padh,wo kal X kar chuke the,2,0.63538,0.0003,3,SinglePeakRight,devanagari,0.8366076054549321,0.5241341552882889,0.3223856743046071,0.6118185262109836,0.8734466232691797,1.1857637231618643,0.87365987419938
wo kal read kar chuke the,wo kal padh chuke the,6,4.333,2.805,2.333,"[1, 7, 7, 1, 4, 6]","['s.406f0f9c-40d6-4037-ab36-d9ca831d0c7e.txt', 's.6e707c44-3689-475a-9844-ba5f97e04291.txt', 's.9c69cad2-2c39-483c-8a6a-7a026189066c.txt', 's.f906f239-0dd1-45b8-a4c0-78392435fb3c.txt', 's.fbc77057-b007-4e28-bbbd-d5b476b444fa.txt', 's.ffa0172a-58f2-49bf-8490-dcc31f314310.txt']",33.3,पढ,read,padh,wo kal X kar chuke the,2,0.63538,0.0003,3,SinglePeakRight,casual,0.19626879428646715,0.24033805271653538,0.22680114415744915,0.3784031684109288,0.446880837217327,0.264083968560476,0.9015079387903748
wo kal read kar chuke the,wo kal padh chuke the,6,4.333,2.805,2.333,"[1, 7, 7, 1, 4, 6]","['s.406f0f9c-40d6-4037-ab36-d9ca831d0c7e.txt', 's.6e707c44-3689-475a-9844-ba5f97e04291.txt', 's.9c69cad2-2c39-483c-8a6a-7a026189066c.txt', 's.f906f239-0dd1-45b8-a4c0-78392435fb3c.txt', 's.fbc77057-b007-4e28-bbbd-d5b476b444fa.txt', 's.ffa0172a-58f2-49bf-8490-dcc31f314310.txt']",33.3,पढ,read,padh,wo kal X kar chuke the,2,0.63538,0.0003,3,SinglePeakRight,formal,0.13014360195829033,0.18253395524633595,0.4140694449239214,0.6488029448860343,0.4532656118775019,0.8932912119628102,0.3769482151360023
speed karna mana hona chahiye,bhagana mana hona chahiye,6,3.667,2.658,2.333,"[1, 5, 7, 6, 1, 2]","['s.406f0f9c-40d6-4037-ab36-d9ca831d0c7e.txt', 's.6e707c44-3689-475a-9844-ba5f97e04291.txt', 's.9c69cad2-2c39-483c-8a6a-7a026189066c.txt', 's.f906f239-0dd1-45b8-a4c0-78392435fb3c.txt', 's.fbc77057-b007-4e28-bbbd-d5b476b444fa.txt', 's.ffa0172a-58f2-49bf-8490-dcc31f314310.txt']",33.3,भगा,speed,bhaga,X karna mana hona chahiye,3,0.9566,0.00054,3,SinglePeakRight,devanagari,0.01967671281281968,0.005662657836413339,0.005716777606661523,0.5324043147714375,1.2003646228463116,2.0952211375574894,0.06982669365385616
speed karna mana hona chahiye,bhagana mana hona chahiye,6,3.667,2.658,2.333,"[1, 5, 7, 6, 1, 2]","['s.406f0f9c-40d6-4037-ab36-d9ca831d0c7e.txt', 's.6e707c44-3689-475a-9844-ba5f97e04291.txt', 's.9c69cad2-2c39-483c-8a6a-7a026189066c.txt', 's.f906f239-0dd1-45b8-a4c0-78392435fb3c.txt', 's.fbc77057-b007-4e28-bbbd-d5b476b444fa.txt', 's.ffa0172a-58f2-49bf-8490-dcc31f314310.txt']",33.3,भगा,speed,bhaga,X karna mana hona chahiye,3,0.9566,0.00054,3,SinglePeakRight,casual,0.0872403088672724,0.25381490786278205,0.4079540441326902,1.0578011778786047,1.5021982898242323,2.099306793660173,0.5605242988898942
speed karna mana hona chahiye,bhagana mana hona chahiye,6,3.667,2.658,2.333,"[1, 5, 7, 6, 1, 2]","['s.406f0f9c-40d6-4037-ab36-d9ca831d0c7e.txt', 's.6e707c44-3689-475a-9844-ba5f97e04291.txt', 's.9c69cad2-2c39-483c-8a6a-7a026189066c.txt', 's.f906f239-0dd1-45b8-a4c0-78392435fb3c.txt', 's.fbc77057-b007-4e28-bbbd-d5b476b444fa.txt', 's.ffa0172a-58f2-49bf-8490-dcc31f314310.txt']",33.3,भगा,speed,bhaga,X karna mana hona chahiye,3,0.9566,0.00054,3,SinglePeakRight,formal,0.1471487642582201,0.3297828915299291,0.34529341526987234,0.528224867920661,0.4220903358431323,2.5924065410826485,0.42853125383305257
collect karna aasan hai,lena aasan hai,6,3.833,2.639,2.167,"[1, 4, 7, 2, 7, 2]","['s.406f0f9c-40d6-4037-ab36-d9ca831d0c7e.txt', 's.6e707c44-3689-475a-9844-ba5f97e04291.txt', 's.9c69cad2-2c39-483c-8a6a-7a026189066c.txt', 's.f906f239-0dd1-45b8-a4c0-78392435fb3c.txt', 's.fbc77057-b007-4e28-bbbd-d5b476b444fa.txt', 's.ffa0172a-58f2-49bf-8490-dcc31f314310.txt']",33.3,ले,collect,le,X karna aasan hai,1,0.63538,0.40744,0,Uniform/Random,devanagari,0.28310802739243585,0.05999150362640833,0.08139185705559072,0.30061617914649763,0.37352198890462823,1.6462335957958092,8.364766087099873
collect karna aasan hai,lena aasan hai,6,3.833,2.639,2.167,"[1, 4, 7, 2, 7, 2]","['s.406f0f9c-40d6-4037-ab36-d9ca831d0c7e.txt', 's.6e707c44-3689-475a-9844-ba5f97e04291.txt', 's.9c69cad2-2c39-483c-8a6a-7a026189066c.txt', 's.f906f239-0dd1-45b8-a4c0-78392435fb3c.txt', 's.fbc77057-b007-4e28-bbbd-d5b476b444fa.txt', 's.ffa0172a-58f2-49bf-8490-dcc31f314310.txt']",33.3,ले,collect,le,X karna aasan hai,1,0.63538,0.40744,0,Uniform/Random,casual,9.580587076098144,4.329430475746035,11.989665304764031,52.93759474885883,82.02716110978132,173.74736128532734,1.507986266489969
collect karna aasan hai,lena aasan hai,6,3.833,2.639,2.167,"[1, 4, 7, 2, 7, 2]","['s.406f0f9c-40d6-4037-ab36-d9ca831d0c7e.txt', 's.6e707c44-3689-475a-9844-ba5f97e04291.txt', 's.9c69cad2-2c39-483c-8a6a-7a026189066c.txt', 's.f906f239-0dd1-45b8-a4c0-78392435fb3c.txt', 's.fbc77057-b007-4e28-bbbd-d5b476b444fa.txt', 's.ffa0172a-58f2-49bf-8490-dcc31f314310.txt']",33.3,ले,collect,le,X karna aasan hai,1,0.63538,0.40744,0,Uniform/Random,formal,0.49368516785976124,0.4653967813988447,1.8793072115800469,3.2369411021071044,8.212250803444562,1.98451154312608,1.3959227348914225
study karna mana hona chahiye,padhna mana hona chahiye,6,4.333,2.582,2.222,"[1, 6, 6, 6, 1, 6]","['s.406f0f9c-40d6-4037-ab36-d9ca831d0c7e.txt', 's.6e707c44-3689-475a-9844-ba5f97e04291.txt', 's.9c69cad2-2c39-483c-8a6a-7a026189066c.txt', 's.f906f239-0dd1-45b8-a4c0-78392435fb3c.txt', 's.fbc77057-b007-4e28-bbbd-d5b476b444fa.txt', 's.ffa0172a-58f2-49bf-8490-dcc31f314310.txt']",66.7,पढ,study,padh,X karna mana hona chahiye,3,0.00792,0.0005,3,SinglePeakRight,devanagari,0.07042629008978356,0.002145149330067759,0.00923624897893869,0.3380245947249323,0.4745822282031271,1.7832131235355557,0.39538060085008475
